Source,Target,Type,Id,Label,timeset,Weight
16680,11590,Undirected,293500,,,2
16679,11590,Undirected,293461,,,3
16678,11590,Undirected,298852,,,3
16677,11590,Undirected,293470,,,2
16676,11590,Undirected,293445,,,3
16437,11590,Undirected,328298,,,1
16144,11590,Undirected,298618,,,1
13860,11590,Undirected,251333,,,2
13820,11590,Undirected,298838,,,1
13714,11590,Undirected,250792,,,1
13601,11590,Undirected,328522,,,1
13428,11590,Undirected,298863,,,1
13155,11590,Undirected,298922,,,3
12964,11590,Undirected,335412,,,1
12963,11590,Undirected,335325,,,1
12961,11590,Undirected,335374,,,1
12529,11590,Undirected,298906,,,1
12394,11590,Undirected,335659,,,1
12247,11590,Undirected,328449,,,1
12239,11590,Undirected,328266,,,1
11838,11590,Undirected,298873,,,2
11591,17430,Undirected,319935,,,1
11591,16230,Undirected,377744,,,1
11591,14913,Undirected,319943,,,1
11591,14590,Undirected,257618,,,1
11591,14486,Undirected,319931,,,1
11591,14122,Undirected,319940,,,1
11591,14097,Undirected,252631,,,1
11591,14087,Undirected,252577,,,1
11591,13702,Undirected,288543,,,2
11591,13519,Undirected,319938,,,1
11591,13279,Undirected,288583,,,2
11591,13211,Undirected,319933,,,1
