Position,Track Name,Artist,Streams,date,region,spotify_id
52,Black Beatles,Rae Sremmurd,376352,2016-12-23--2016-12-30,es,6fujklziTHa8uoM5OQSfIo
53,I Feel It Coming,The Weeknd,373440,2016-12-23--2016-12-30,es,5GXAXm5YOmYT0kL5jHvYBt
54,Me llamas (feat. Maluma) - Remix,Piso 21,338307,2016-12-23--2016-12-30,es,5hEM0JchdVzQ5PwvSfITeX
55,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,318433,2016-12-23--2016-12-30,es,0JoHqmlqE0W0i9prt6kcHR
56,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,301327,2016-12-23--2016-12-30,es,3NdDpSvN911VPGivFlV5d0
57,Ruleta Rusa,Kevin Roldan,291512,2016-12-23--2016-12-30,es,77KHmKnBmVGTjRCeMVXpWH
58,Baila Conmigo,Juan Magán,280330,2016-12-23--2016-12-30,es,772io14jrMTxGJbijtDccQ
59,Mi tesoro (feat. Nicky Jam),Zion & Lennox,275772,2016-12-23--2016-12-30,es,5HABnFSYvl6mTmg8nSdzHa
60,Traicionera - Remix,Sebastian Yatra,271374,2016-12-23--2016-12-30,es,2webQDZmtGioeu3zUUi9We
61,Ando buscando (feat. Piso 21),Carlos Baute,262232,2016-12-23--2016-12-30,es,7BwJtE8KSbCQKOCTIAY3jX
62,Alone,Alan Walker,249466,2016-12-23--2016-12-30,es,0JiVRyTJcJnmlwCZ854K4p
63,Ride,Twenty One Pilots,241249,2016-12-23--2016-12-30,es,2Z8WuEywRWYTKe1NybPQEW
64,Sofia,Alvaro Soler,238971,2016-12-23--2016-12-30,es,1VoHrSS3QQ6TbpabLrFiYb
65,La Gozadera (feat. Marc Anthony),Gente De Zona,236442,2016-12-23--2016-12-30,es,0OMRAvrtLWE2TvcXorRiB9
66,Desde Esa Noche (feat. Maluma),Thalia,231369,2016-12-23--2016-12-30,es,1pWYnQIlqxTh5bxuPmTG4E
67,Hasta el Amanecer,Nicky Jam,224369,2016-12-23--2016-12-30,es,5Fim1gaXBgsiFfsQAfQSDS
68,El chisme,Reykon,224008,2016-12-23--2016-12-30,es,4VXejnj5WgM6H72ct2fSgQ
69,Ain't Your Mama,Jennifer Lopez,220199,2016-12-23--2016-12-30,es,2hgzdQdnfWwtdpZbhZlV72
70,Encantadora (feat. Farruko & Zion & Lennox) - Remix,Yandel,219649,2016-12-23--2016-12-30,es,0EpFfFZpCuqYFzHvxOtrZS
71,Gyal You A Party Animal,Charly Black,217471,2016-12-23--2016-12-30,es,1mSzZKMIPZIkn3jFV7v62b
72,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,213200,2016-12-23--2016-12-30,es,17Fd6Yb7mSbinKG8LoWfFl
73,Fake Love,Drake,212225,2016-12-23--2016-12-30,es,343YBumqHu19cGoGARUTsd
74,Feliz Navidad,José Feliciano,211372,2016-12-23--2016-12-30,es,7taXf5odg9xCAZERYfyOkS
75,By Your Side,Jonas Blue,209716,2016-12-23--2016-12-30,es,1D3ODoXHBLpdxolZRHWV1j
